belgeBeyanID,belgeBeyanAdi,belgeTur,istenenmi
20203,TEHLİKELİ MADDE GÜVENLİK DANIŞMANLIĞI KURULUŞLARININ YETKİ BELGESİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
21897,DEMİRYOLU EĞİTİM VE SINAV MERKEZİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
21898,TREN MAKİNİSTİ EHLİYET BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
23611,SABIKA KAYDI TALEP DİLEKÇESİ,BAŞVURU/TALEP FORMU,True
25302,DÜZENLİ SEFERLER BİLGİ SİSTEMİ İZİN TALEP VE TAAHHÜTNAMESİ,BAŞVURU/TALEP FORMU,True
386,BELEDİYELERİN İŞLETME KURMASINA İLİŞKİN ONAY,OLUR/ONAY,True
2165,LİMAN TESİSİ GÜVENLİK DEĞERLENDİRMESİ ONAY YAZISI,OLUR/ONAY,True
2171,LİMAN TESİSİ GÜVENLİK PLANI ONAY YAZISI,OLUR/ONAY,True
2173,LİMAN TESİSİ GÜVENLİK SORUMLUSU ATAMA ONAYI YAZISI,OLUR/ONAY,True
327,İNCELEME RAPORU,RAPOR,True
466,ÇEVRESEL ETKİ DEĞERLENDİRMESİ (ÇED) RAPORU,RAPOR,True
675,RADYASYON KONTROL RAPORU,RAPOR,True
994,KAZA RAPORU,RAPOR,True
1613,PSİKO-TEKNİK DEĞERLENDİRME RAPORU,RAPOR,True
1756,SAĞLIK RAPORU (KURUL),RAPOR,True
1757,SAĞLIK RAPORU (TEK DOKTORLU),RAPOR,True
2384,STATİK RAPOR,RAPOR,True
4352,İMAR PLANI PLAN AÇIKLAMA RAPORU,RAPOR,True
5228,MESLEK ODASINDAN ALINACAK MESLEKTEN MEN CEZASI OLMADIĞINA DAİR RAPOR,RAPOR,True
7295,HİDROGRAFİK OŞİNOGRAFİK RAPOR,RAPOR,True
11998,YANGIN EMNİYET (İTFAİYE) RAPORU,RAPOR,True
12059,TİCARET AMAÇLI BİNALAR İÇİN YANGIN EMNİYET (İTFAİYE) RAPORU,RAPOR,True
12340,DÖNEM DENETİM RAPORU,RAPOR,True
13432,SAĞLIK KURULU RAPORU,RAPOR,True
14860,KREDİ NOTU RAPORU,RAPOR,True
15270,FİNANSAL RAPOR REVİZYON RAPORU,RAPOR,True
16563,UYUŞTURUCU VE UYARICI (NEGATİF) RAPORU,RAPOR,True
16565,KONDİSYON SÖRVEY RAPORU,RAPOR,True
16856,GEMİ SÖRVEY RAPORU,RAPOR,True
17865,TEHLİKELİ MADDENİN TAŞINMASI İÇİN GÜVENLİK TEDBİRLERİNİ İÇERİR RAPOR,RAPOR,True
23733,GEMİADAMI SAĞLIK RAPORU,RAPOR,True
26502,BAĞIMSIZ RİSK DEĞERLENDİRME KURULUŞU RAPORU,RAPOR,True
850,TAPU SENEDİ,SENET,True
3647,TARAFLARIN İMZA VE BEYANLARINI İÇEREN DEVİR SENEDİ,SENET,True
999,CMR KARAYOLU TAŞIMA BELGESİ,İZİN,True
1455,TRANSİT LOG SEYİR İZİN BELGESİ,İZİN,True
1515,ÖZEL GÜVENLİK EĞİTİM KURUMU FAALİYET İZİN BELGESİ,İZİN,True
1535,ÖZEL GÜVENLİK ŞİRKETİ FAALİYET İZİN BELGESİ,İZİN,True
2319,SU ÜRÜNLERİ RUHSAT TEZKERESİ,İZİN,True
2840,YAPI KULLANMA İZİN BELGESİ (İSKAN RUHSATI),İZİN,True
3499,GEMİ VE SU ARACI İNŞA İZİN BELGESİ,İZİN,True
3667,GEMİ VEYA SU ARACI İNŞA İZNİ BELGESİ,İZİN,True
3971,MUVAFAKAT BELGESİ,İZİN,True
7951,ANTREPO AÇMA VE İŞLETME İZİN BELGESİ,İZİN,True
8263,TİCARET ODASI FAALİYET BELGESİ,İZİN,True
17300,KIYI TESİSİ İŞLETME İZİN BELGESİ,İZİN,True
17550,GEMİ İNŞA İZİN BELGESİ,İZİN,True
25320,DENİZ ARAÇLARINA ÖTV'SİZ YAKIT DAĞITIMI YAPAN FİRMALAR İÇİN DAĞITIM İZİN BELGESİ,İZİN,True
26452,YABANCILAR İÇİN OTURMA İZİN BELGESİ,İZİN,True
725,TAAHHÜTNAME (TÜR OLARAK EKLENDİĞİ İÇİN TAAHHÜTNAMENİN İÇERİĞİ YAZILACAK),TAAHHÜTNAME,True
2124,SİGORTA ŞİRKETİ TAAHHÜTNAMESİ,TAAHHÜTNAME,True
17143,UDHB AR-GE PROJESİ BAŞVURU TAAHHÜTNAMESİ,TAAHHÜTNAME,True
17609,GEÇİŞ HAKKI KULLANIM ONAYI BAŞVURUSUNA İLİŞKİN TAAHHÜTNAME,TAAHHÜTNAME,True
19179,"GİZLİLİK, BAĞIMSIZLIK VE TARAFSIZLIK TAAHHÜTNAMESİ",TAAHHÜTNAME,True
19561,ÖTV'SİZ YAKIT TALEBİ EK TAAHHÜTNAME,TAAHHÜTNAME,True
19572,ÖTV'SİZ YAKIT ALIM TAAHHÜTNAME FORMU (EK 3B/3D),TAAHHÜTNAME,True
2585,YAKLAŞIK MALİYET HESAP CETVELİ,CETVEL,True
3978,SİGORTA HİZMET CETVELİ,CETVEL,True
601,1/5000 ÖLÇEKLİ NAZIM İMAR PLANI,PLAN,True
1189,İŞ AKIM ŞEMASI-TERMİN PLANI,PLAN,True
1225,FRİBORD PLANI,PLAN,True
1504,1/1000 ÖLÇEKLİ UYGULAMA İMAR PLANI,PLAN,True
2026,YERLEŞİM PLANI,PLAN,True
2166,VAZİYET PLANI,PLAN,True
2168,LİMAN TESİSİ GÜVENLİK PLANI,PLAN,True
2393,SU ALTI DALIŞ PLANI,PLAN,True
2645,YANGIN VAZİYET PLANI,PLAN,True
3213,İMAR PLANI,PLAN,True
4116,RİSK DEĞERLENDİRME VE ACİL MÜDAHALE PLANI,PLAN,True
4155,ACİL DURUM/MÜDAHALE PLANI,PLAN,True
8628,TESİS YERLEŞİM PLANI,PLAN,True
12974,1/25000 ÖLÇEKLİ İMAR PLANI,PLAN,True
16555,TESİS ORGANİZASYONU VE YERLEŞİM PLANI,PLAN,True
16571,YÜZER HAVUZ BAĞLAMA PLANI,PLAN,True
16628,DEMİRYOLU TREN İŞLETMECİLERİNİN FAALİYET YERİ/YERLERİNİN VE TESİSLERİNİN PLANI,PLAN,True
16702,DEMİRYOLU ALTYAPI İŞLETMECİLERİNİN FAALİYET YERİ/YERLERİNİN VE TESİSLERİNİN PLANI,PLAN,True
17059,ÇEKİ PLANI,PLAN,True
17573,DEMİRYOLU ALT YAPI KAPASİTE GELİŞTİRME PLANI,PLAN,True
1894,SEFER PROGRAMI,PROGRAM,True
21883,DEMİR YOLU SINAV PROGRAMI,PROGRAM,True
21884,DEMİRYOLU EĞİTİM PROGRAMI,PROGRAM,True
758,DALIŞ KAYIT DEFTERİ,DEFTER,True
1333,ÖTV'SİZ YAKIT ALIM DEFTERİ,DEFTER,True
527,BANKA TEMİNAT MEKTUBU,MEKTUP,True
747,KLAS MEKTUBU,MEKTUP,True
1181,TEMİNAT MEKTUBU,MEKTUP,True
781,EMNİYET YÖNETİM SİSTEMİ EL KİTABI,KILAVUZ/KATALOG/KİTAPÇIK/DERGİ,True
1930,KULLANIM KILAVUZU,KILAVUZ/KATALOG/KİTAPÇIK/DERGİ,True
17440,KLAS KAYDI ALTINDAKİ GEMİLERE YÖNELİK YILLIK SİCİL KİTABI,KILAVUZ/KATALOG/KİTAPÇIK/DERGİ,True
148,ACENTELİK SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
800,KİRA KONTRATI,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
996,KONŞİMENTO,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
1001,KONTROL MÜHENDİSİYLE YAPILAN SÖZLEŞME,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
1038,TAŞIT KİRALAMA SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
1926,KULLANIM İZNİ SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
3368,İRTİFAK HAKKI SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
4571,HİZMET ALIM SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
4857,STANDART TAŞIMA SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
8856,KİRA SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
10893,İŞ AKDİ HİZMET SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
11966,GEMİ KİRALAMA SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
15791,İŞLETME DEVİR SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
16025,KAMU KURUM KURULUŞU TAŞIMA HİZMET ALIMI SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
16493,YURTDIŞINDAN SATIN ALINAN VEYA KİRALANAN DEMİRYOLU ARAÇLARI SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
16504,DEMİRYOLU ARACI PARK YERİ KULLANIM SÖZLEŞMESİ/ MÜLKİYET BELGESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
19545,GEMİ İPOTEĞİ SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
20482,MİLLİ EMLAK İLE LİMAN TESİSİ İŞLETENİ ARASINDA İMZALANAN ÖN İZİN SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
22842,GEMİ İNŞA SÖZLEŞMESİ,SÖZLEŞME/ANLAŞMA/PROTOKOL,True
174,ALET VE EKİPMAN LİSTESİ,LİSTE,True
1000,DÜZENLİ YOLCU TAŞIMA HATTI GÜZERGAH LİSTESİ,LİSTE,True
1021,TAŞINMAZ MAL LİSTESİ,LİSTE,True
1939,SERVİS EKİPMAN LİSTESİ,LİSTE,True
2126,SGK SİGORTALI HİZMET LİSTESİ,LİSTE,True
5904,GEMİ PERSONEL LİSTESİ,LİSTE,True
16775,DEMİRYOLU ARAÇ TİPLERİNİN LİSTESİ,LİSTE,True
17062,ORGANİZASYON ŞEMASINDA TANIMLANAN GÖREVLERDEN SORUMLU PERSONEL LİSTESİ,LİSTE,True
21882,DEMİRYOLU EĞİTİM VE SINAV MERKEZİ  ARAÇ GEREÇ LİSTESİ,LİSTE,True
22012,BAKIMDAN SORUMLU KURULUŞ ATÖLYE EKİPMAN LİSTESİ,LİSTE,True
22045,BAKIMDAN SORUMLU BİRİM ATÖLYE EKİPMAN LİSTESİ,LİSTE,True
304,AVLANMA RUHSATI,RUHSAT,True
1194,GEMİ İSTASYONU RUHSATNAMESİ (TİM-06),RUHSAT,True
10131,BALIKÇI GEMİLERİ İÇİN SU ÜRÜNLERİ RUHSAT TEZKERESİ,RUHSAT,True
11951,ARAÇ RUHSATI,RUHSAT,True
12161,"İŞYERİ AÇMA VE ÇALIŞMA RUHSATI (AKARYAKIT, LPG, CNG)",RUHSAT,True
19187,BAĞLAMA KÜTÜĞÜ RUHSATNAMESİ,RUHSAT,True
25333,İŞYERİ AÇMA VE ÇALIŞTIRMA RUHSATI,RUHSAT,True
142,AKREDİTASYON SERTİFİKASI,SERTİFİKA,True
458,TARIMSAL DANIŞMANLIK EĞİTİMİ EĞİTİCİ BELGESİ,SERTİFİKA,True
761,KLAS SERTİFİKASI,SERTİFİKA,True
914,OHSAS 18001 İŞ SAĞLIĞI VE GÜVENLİĞİ BELGESİ,SERTİFİKA,True
1947,SERVİS SAĞLAYICI SERTİFİKASI,SERTİFİKA,True
2226,YÜK GEMİSİ TELSİZ EMNİYET BELGESİ,SERTİFİKA,True
2229,YÜK GEMİSİ İNŞA EMNİYET BELGESİ,SERTİFİKA,True
2280,ULUSLARARASI PETROL KİRLİLİĞİNİ ÖNLEME SERTİFİKASI,SERTİFİKA,True
2435,GEMİ BAYRAK ŞAHADETNAMESİ,SERTİFİKA,True
2964,GEMİ MAKİNELERİ KURSU BELGESİ,SERTİFİKA,True
2976,GEMİADAMI DONATIMINDA ASGARİ EMNİYET BELGESİ,SERTİFİKA,True
4851,ÖLÇÜM CİHAZLARI KALİBRASYON SERTİFİKASI,SERTİFİKA,True
7732,YETKİLENDİRİLMİŞ YÜKÜMLÜ SERTİFİKASI,SERTİFİKA,True
16539,TEHLİKELİ MADDE GÜVENLİK DANIŞMANI SERTİFİKASI,SERTİFİKA,True
16639,PETROL KİRLİLİĞİNDEN DOĞAN ZARARIN HUKUKİ SORUMLULUĞU İLE İLGİLİ SİGORTA VEYA DİĞER MALİ TEMİNAT SERTİFİKASI,SERTİFİKA,True
17004,ROMORKÖRLERİN SÜREKLİ ÇEKİ GÜCÜ (BOLLARD PULL) SERTİFİKASI,SERTİFİKA,True
17304,PETROL VE DİĞER ZARARLI MADDELERİN SEBEP OLDUĞU DENİZ KİRLİLİĞİNE MÜDAHALE SEMİNER EĞİTMENİ SERTİFİKASI,SERTİFİKA,True
22011,BAKIMDAN SORUMLU KURULUŞ (ECM) YÖNETİM SİSTEM SERTİFİKA,SERTİFİKA,True
22047,BAKIMDAN SORUMLU BİRİM YÖNETİM SİSTEM  SERTİFİKASI,SERTİFİKA,True
23740,SİVİL HAVACILIK GENEL MÜDÜRLÜĞÜ YÖNETİCİ PERSONEL ONAY SERTİFİKASI,SERTİFİKA,True
25154,BALIKADAM KURS BELGESİ,SERTİFİKA,True
26444,GEMİ SERTİFİKASI,SERTİFİKA,True
6441,RADYASYON ÖLÇÜMÜ VE RADYASYONDAN KORUNMA EĞİTİMİ KATILIMCI BELGESİ,KATILIMCI BELGESİ,True
10558,MESLEKİ EĞİTİM KATILIM BELGESİ,KATILIMCI BELGESİ,True
11691,YANGIN ÖNLEME VE SÖNDÜRME TEKNİKLERİ TEMEL EĞİTİMİ KATILIM BELGESİ,KATILIMCI BELGESİ,True
20143,SRC5 EĞİTİCİLERİN EĞİTİMİ PROGRAMINA KATILIM BELGESİ,KATILIMCI BELGESİ,True
21876,EĞİTİM BAŞARI BELGESİ,KATILIMCI BELGESİ,True
25303,GEMİADAMI KURSU BİTİRME BELGESİ,KATILIMCI BELGESİ,True
25304,TREN MAKİNİST TEMEL EĞİTİM BELGESİ,KATILIMCI BELGESİ,True
25305,DENİZ GÜVENLİK EĞİTİMLERİ (STCW) KURS BELGESİ,KATILIMCI BELGESİ,True
4115,PASAPORT (ÇEŞİTLERİNDEN HERHANGİ BİRİ),PASAPORT,True
532,GÜMRÜK BEYANNAMESİ,BEYANNAME/BEYAN FORMU,True
549,GÜMRÜK GİRİŞ BEYANNAMESİ,BEYANNAME/BEYAN FORMU,True
1996,SGK KAPSAMINDA ÇALIŞIP ÇALIŞILMADIĞINA DAİR BEYANNAME,BEYANNAME/BEYAN FORMU,True
3170,İMZA BEYANNAMESİ,BEYANNAME/BEYAN FORMU,True
9765,GÜMRÜK TRANSİT BEYANNAMESİ,BEYANNAME/BEYAN FORMU,True
12176,MAKİNE VE TEÇHİZAT EKİPMAN LİSTESİ BEYANNAMESİ,BEYANNAME/BEYAN FORMU,True
16490,DEMİRYOLU ARACI BAKIMINDAN SORUMLU KURULUŞ/BİRİM BEYANNAMESİ,BEYANNAME/BEYAN FORMU,True
16491,DEMİRYOLU ARAÇ BAKIMDAN SORUMLU KURULUŞ/BİRİM BEYANNAMESİ,BEYANNAME/BEYAN FORMU,True
16515,DEMİRYOLU ARAÇLARI TESCİLİ DOĞRULAMA BEYANI,BEYANNAME/BEYAN FORMU,True
16567,TİP ONAY DOĞRULAMA BEYANI,BEYANNAME/BEYAN FORMU,True
21541,IMSBC KOD'DA BULUNMAYAN YÜKÜN ÖZELLİKLERİ VE TAŞIMA ŞARTLARI BEYAN FORMU,BEYANNAME/BEYAN FORMU,True
2098,VERGİ DAİRESİ TAHSİL ALINDI BELGESİ,ALINDI BELGESİ,True
3559,DEKONT,ALINDI BELGESİ,True
11880,BANKA DEKONTU,ALINDI BELGESİ,True
14849,HARÇ ÖDENDİ BELGESİ,ALINDI BELGESİ,True
15861,LİSTE,ALINDI BELGESİ,True
768,TAKDİR KOMİSYONU KARARI,KARAR,True
1439,TRAFİK KOMİSYON KARARI,KARAR,True
1864,ULAŞIM KOORDİNASYON MERKEZİ (UKOME) KARARI,KARAR,True
2473,MAHKEME KARARI,KARAR,True
2545,İCRA KARARI,KARAR,True
3093,BAKANLAR KURULU KARARI,KARAR,True
26455,HACİZ VE İPOTEK KALDIRILMASI KARARI,KARAR,True
200,ARAÇ TESCİLİNE İLİŞKİN GEÇİCİ BELGE,DURUM BELGESİ,True
267,BİRİNCİ ZABİTİ YETERLİĞİNE YÜKSELME EĞİTİMİ (A-II/2) BELGESİ,DURUM BELGESİ,True
805,DENİZ STAJI TAMAMLAMA BELGESİ,DURUM BELGESİ,True
900,MESLEK ODASI KAYIT BELGESİ,DURUM BELGESİ,True
901,SANAYİ ODASI KAYIT BELGESİ,DURUM BELGESİ,True
920,ONAYLANMIŞ KİŞİ STATÜ BELGESİ,DURUM BELGESİ,True
1246,TİCARET SİCİL TASDİKNAMESİ,DURUM BELGESİ,True
1359,GEMİ SİCİL TASDİKNAMESİ,DURUM BELGESİ,True
1385,TONİLATO BELGESİ,DURUM BELGESİ,True
1391,ÖĞRENİM DURUM BELGESİ,DURUM BELGESİ,True
1568,ÖZGEÇMİŞ/CV,DURUM BELGESİ,True
1801,SATIŞ BELGESİ (BİLL OF SALE),DURUM BELGESİ,True
1924,SERMAYE DURUM BELGESİ (TİCARET ODASI),DURUM BELGESİ,True
1948,SERVİS SAĞLAYICISINDAN IP BELGESİ,DURUM BELGESİ,True
1982,SEYİR VE GEMİ İDARESİ KURS BELGESİ,DURUM BELGESİ,True
1999,SGK PRİM BORCU OLMADIĞINA DAİR BELGE,DURUM BELGESİ,True
2003,VARDİYA ZABİTİ YETİŞTİRME EĞİTİMİ BELGESİ A-II/1),DURUM BELGESİ,True
2093,VERGİ BORCU BULUNMADIĞINA DAİR BELGE,DURUM BELGESİ,True
2104,SİGORTA GİRİŞ BELGESİ,DURUM BELGESİ,True
2127,SİGORTALILIK DURUM BELGESİ,DURUM BELGESİ,True
2195,VERGİ NUMARASINI GÖSTERİR BELGE,DURUM BELGESİ,True
2228,YÜK GEMİSİ TEÇHİZAT EMNİYET BELGESİ,DURUM BELGESİ,True
2342,SORUMLU YÖNETİCİ BELGESİ,DURUM BELGESİ,True
2375,STAJ BELGESİ,DURUM BELGESİ,True
2555,İÇ SUYA ELVERİŞLİLİK BELGESİ,DURUM BELGESİ,True
2838,STABİLİTE BUKLETİ,DURUM BELGESİ,True
2936,GEÇİCİ PLAKA DÜZENLEME BELGESİ,DURUM BELGESİ,True
3137,VEKALETNAME,DURUM BELGESİ,True
3171,İMZA SİRKÜLERİ,DURUM BELGESİ,True
3177,İMAR DURUM BELGESİ,DURUM BELGESİ,True
3195,TAPU TAHSİS BELGESİ,DURUM BELGESİ,True
3233,İNGİLİZCE HAZIRLIK SINIFI OKUNDUĞUNU GÖSTERİR BELGE,DURUM BELGESİ,True
3673,BİREYSEL OKUR-YAZARLIK BELGESİ,DURUM BELGESİ,True
3915,ULUSAL YÜKLEME SINIRI BELGESİ,DURUM BELGESİ,True
3966,İŞ MAKİNASI TESCİL BELGESİ,DURUM BELGESİ,True
5821,TÜRKAK AKREDİTASYON BELGESİ,DURUM BELGESİ,True
5920,ATR DOLAŞIM BELGESİ,DURUM BELGESİ,True
8265,GÖRME YETENEĞİ BELGESİ,DURUM BELGESİ,True
8860,FAALİYET BELGESİ,DURUM BELGESİ,True
13466,İSTİHDAM DURUM BELGESİ,DURUM BELGESİ,True
15094,ÜST DÜZEY YÖNETİCİLERİN GEREKLİ ŞARTLARI TAŞIDIĞINA DAİR BELGE,DURUM BELGESİ,True
16100,UBAK İZİN BELGESİ KARAYOLU KARNESİ,DURUM BELGESİ,True
16561,TİP ONAY DOĞRULAMA BELGESİ,DURUM BELGESİ,True
17178,YÜK DEMİRYOLU TREN İŞLETMECİSİ ASGARİ KAPASİTE BELGESİ,DURUM BELGESİ,True
19881,MİRASTAN FERAGAT BELGESİ,DURUM BELGESİ,True
21954,EĞİTİM VE/VEYA SINAV MERKEZİ MÜDÜRÜ İSTİHDAM BELGESİ,DURUM BELGESİ,True
22496,ASKERLİK DURUM BELGESİ,DURUM BELGESİ,True
26445,ÇEK UYGUNLUK BELGESİ,DURUM BELGESİ,True
708,NÜFUS CÜZDANI,KİMLİK BELGESİ/KARTİ,True
194,ARAÇ TESCİL  BELGESİ,TESCİL BELGESİ/FORMU,True
23449,İNŞA HALİNDEKİ GEMİLERE MAHSUS SİCİL YAPI KAYIT BELGESİ,TESCİL BELGESİ/FORMU,True
1289,TS EN ISO 14001:2004 ÇEVRE YÖNETİM SİSTEMİ BELGESİ,KALİTE BELGESİ,True
1644,TURİZM İŞLETMESİ BELGESİ,KALİTE BELGESİ,True
5936,MAKBUZ,MAKBUZ,True
10480,DÖNER SERMAYE MAKBUZU,MAKBUZ,True
17257,YETKİ BELGESİ ÜCRETİNİN YATIRILDIĞINA DAİR MAKBUZ,MAKBUZ,True
1238,TIR KARNESİ,KARNE,True
2084,VERASET İLAMI,İLAM,True
2372,SSK BİLDİRGESİ,BİLDİRGE/BİLDİRİ,True
2969,GEMİ SORU KAĞIDI (YÜK MANİFESTOSU),BİLDİRGE/BİLDİRİ,True
3697,SGK İŞE GİRİŞ BİLDİRGESİ,BİLDİRGE/BİLDİRİ,True
10478,SGK BİLDİRGESİ,BİLDİRGE/BİLDİRİ,True
20132,SİGORTA BİLDİRGESİ,BİLDİRGE/BİLDİRİ,True
2958,GEMİ GELİŞ/GİDİŞ BİLDİRİM FORMU,BİLDİRİM/BİLDİRİM FORMU,True
2983,GEMİ YAPI(TADİLAT/YENİ İNŞA) BİLDİRİSİ,BİLDİRİM/BİLDİRİM FORMU,True
5358,TRANSİT GEMİLER İÇİN GEMİ BİLDİRİMİ,BİLDİRİM/BİLDİRİM FORMU,True
16820,GEMİ/SU ARACI YAPI BİLDİRİSİ,BİLDİRİM/BİLDİRİM FORMU,True
265,ATIK BİLDİRİM FORMU,DİGER FORMLAR,True
763,DILEKÇE,DİGER FORMLAR,True
2175,LİMAN/İSKELE İŞLETİCİ KURULUŞLARIN GÖRÜŞ YAZISI FORMU,DİGER FORMLAR,True
16419,DENİZE ELVERİŞLİLİK BELGESİ,DİGER FORMLAR,True
16777,GEMİ VEYA SU ARACI İNŞA VEYA TADİLAT TAKİP FORMU,DİGER FORMLAR,True
17109,PROJE ÖZET FORMU,DİGER FORMLAR,True
17398,KAMERA İLE SU ALTI SÖRVEYLERİNDE KULLANILACAK CİHAZ KAPSAMI VE TİPLERİ FORMU,DİGER FORMLAR,True
18837,ÖZEL SEKTÖR_STK_BAŞVURU DİLEKÇESİ FORMU,DİGER FORMLAR,True
18946,UDHB UDHAM AR-GE PROJELERİ ÖZGEÇMİŞ FORMU,DİGER FORMLAR,True
19569,ÖTV'SİZ YAKIT KONTROL FORMU (EK-1.3),DİGER FORMLAR,True
22448,MESAJ FORMU,DİGER FORMLAR,True
252,BİRİNCİ SINIF DALGIÇ YETERLİK BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
447,EĞİTMEN BALIKADAM BELGESİ (TÜRKİYE SUALTI SPORLARI FEDERASYONU),YETERLİK/YETERLİLİK BELGESİ,True
2489,HİZMET YERİ YETERLİLİK BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
2491,HİZMET YETERLİLİK BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
2615,MALİ YETERLİLİK BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
2703,İKİNCİ MAKİNİST YETERLİĞİNE YÜKSELME EĞİTİMİ (A-III/2) BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
2705,İKİNCİ SINIF DALGIÇ YETERLİK BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
2934,MESLEKİ TECRÜBEYİ GÖSTERİR BELGE,YETERLİK/YETERLİLİK BELGESİ,True
3651,DİL YETERLİLİK BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
3782,KISA MESAFE TELSİZ OPERATÖRÜ YETERLİK BELGESİ (SRC),YETERLİK/YETERLİLİK BELGESİ,True
3926,UZAKYOL BAŞMAKİNİST/BAŞMÜHENDİS YÜKSELME EĞİTİMİ (A-III-2) BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
3928,UZAKYOL BİRİNCİ ZABİTİ YETERLİĞİNE YÜKSELME EĞİTİMİ (A-II/2) BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
3930,UZAKYOL II. MAKİNİST/MÜHENDİSİ YÜKSELME EĞİTİMİ (A-III/2) BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
3933,UZAKYOL KAPTAN YETERLİĞİNE YÜKSELME EĞİTİMİ (A-II/2) BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
3937,UZAKYOL VARDİYA ZABİTİ YETERLİK BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
16541,SRC5 EĞİTİCİ BELGESİ,YETERLİK/YETERLİLİK BELGESİ,True
